customer_id,first_name,last_name,tiktok_campaign,tiktok_cpa,tiktok_conversion,tiktok_dates,email_campaign,email_cpa,email_conversion,email_dates,customer_segment
1,Noelyn,Krout,frequency purchase,$1.17,false,12/14/2022,cross product,$1.76,true,11/12/2022,Daily
2,Daryn,Vivians,frequency purchase,$5.72,false,01/29/2022,we missed you,$3.82,true,10/7/2022,Never
3,Osborne,Karpman,abandoned cart,$8.64,false,08/10/2022,cross product,$4.08,false,1/15/2022,Yearly
4,Caitrin,Aistrop,cross product,$9.68,true,01/05/2022,abandoned cart,$2.21,false,8/15/2022,Daily
5,Carlyle,Galland,cross product,$0.27,true,09/25/2022,cross product,$4.12,true,9/13/2022,Often
6,Iona,Gilman,abandoned cart,$8.84,false,08/18/2022,cross product,$7.75,false,8/8/2022,Once
7,Wilmar,Beachem,product launch,$0.52,true,07/27/2022,we missed you,$6.80,false,4/6/2022,Monthly
8,Gwenneth,Andresser,product launch,$2.10,true,06/14/2022,product launch,$9.68,true,9/9/2022,Often
9,Sheilah,Presho,cross product,$4.08,true,04/23/2022,product launch,$7.37,false,9/4/2022,Yearly
10,Bevin,Keningham,cross product,$6.11,true,04/02/2022,cross product,$8.99,true,9/30/2022,Once
11,Clyde,MacLoughlin,welcome,$6.76,false,04/04/2022,cross product,$0.64,false,2/4/2022,Monthly
12,Kingsley,Acome,we missed you,$0.72,true,02/10/2022,product launch,$2.95,false,7/7/2022,Often
13,Karina,Alcott,frequency purchase,$7.23,false,05/08/2022,abandoned cart,$1.73,false,11/19/2022,Never
14,Gaylor,Legendre,product launch,$8.82,false,10/08/2022,frequency purchase,$8.43,true,2/17/2022,Yearly
15,Halimeda,Quarry,frequency purchase,$2.64,false,01/09/2022,product launch,$1.22,false,12/19/2022,Seldom
16,Levi,Bezant,abandoned cart,$3.17,false,02/16/2022,abandoned cart,$0.26,false,3/9/2022,Yearly
17,Phoebe,Lindenbluth,cross product,$8.76,true,03/18/2022,we missed you,$3.18,true,12/22/2022,Once
18,Nannie,Ormrod,cross product,$4.57,true,08/12/2022,frequency purchase,$3.73,true,1/16/2022,Seldom
19,Moina,Yielding,abandoned cart,$5.45,true,01/02/2022,abandoned cart,$3.04,true,11/20/2022,Yearly
20,Chester,Jouhning,frequency purchase,$6.96,true,04/12/2022,frequency purchase,$4.47,false,9/29/2022,Seldom
21,Hallsy,Hearl,welcome,$3.56,true,08/13/2022,welcome,$3.03,true,3/16/2022,Yearly
22,Timmi,Birdwhistell,cross product,$0.24,false,04/20/2022,abandoned cart,$7.63,true,12/15/2022,Weekly
23,Farlie,Edgecombe,frequency purchase,$6.12,true,08/14/2022,cross product,$9.89,true,2/6/2022,Yearly
24,Cart,Leggon,product launch,$2.39,false,08/03/2022,abandoned cart,$4.28,false,10/20/2022,Weekly
25,Meredithe,Pidler,we missed you,$8.72,true,04/14/2022,frequency purchase,$2.41,true,10/7/2022,Never
26,Patrice,Helliwell,we missed you,$7.52,false,03/30/2022,abandoned cart,$6.04,false,1/3/2022,Monthly
27,Renelle,Wolfit,welcome,$3.42,true,08/29/2022,cross product,$1.11,true,12/4/2022,Yearly
28,Brittney,Batisse,frequency purchase,$4.66,true,07/24/2022,abandoned cart,$8.63,false,9/28/2022,Weekly
29,June,Mallaby,we missed you,$6.76,false,03/28/2022,welcome,$8.83,false,7/29/2022,Daily
30,Ettie,Boake,frequency purchase,$8.29,false,10/19/2022,frequency purchase,$9.36,true,6/26/2022,Often
31,Ogdon,Cullington,welcome,$6.71,true,09/22/2022,we missed you,$2.09,true,8/15/2022,Often
32,Chloette,Mortimer,frequency purchase,$9.66,true,08/22/2022,abandoned cart,$4.53,true,9/14/2022,Once
33,Tamara,Peevor,frequency purchase,$4.57,false,07/05/2022,abandoned cart,$8.55,false,1/12/2022,Weekly
34,Yurik,Cullington,product launch,$2.74,true,02/14/2022,abandoned cart,$9.36,true,3/5/2022,Weekly
35,Ham,Gilligan,we missed you,$1.89,true,03/16/2022,product launch,$2.45,false,10/7/2022,Weekly
36,Melisandra,Gotthard,cross product,$1.62,false,02/18/2022,frequency purchase,$0.74,false,9/1/2022,Daily
37,Jasun,De Caville,product launch,$1.80,true,11/25/2022,cross product,$2.65,true,8/30/2022,Monthly
38,Korrie,Demann,product launch,$6.83,false,06/23/2022,welcome,$5.25,false,12/13/2022,Often
39,Thurstan,Bushel,frequency purchase,$9.07,true,07/16/2022,cross product,$8.36,false,10/18/2022,Never
40,Carrie,Lippo,abandoned cart,$9.60,true,02/25/2022,we missed you,$4.36,true,9/19/2022,Daily
41,Talbert,Porkiss,welcome,$5.64,true,02/03/2022,welcome,$0.43,true,7/15/2022,Often
42,Jaine,Bassam,welcome,$2.21,false,03/19/2022,abandoned cart,$1.63,true,9/14/2022,Daily
43,Nikolaus,O'Feeney,product launch,$1.32,false,11/23/2022,product launch,$0.16,false,8/11/2022,Weekly
44,Nerissa,Jindra,we missed you,$3.52,false,06/03/2022,product launch,$2.46,false,6/29/2022,Never
45,Chevy,Forth,we missed you,$8.93,false,06/07/2022,we missed you,$6.86,true,6/6/2022,Never
46,Merrile,Gregoriou,frequency purchase,$7.77,true,12/27/2022,we missed you,$7.48,true,6/28/2022,Often
47,Myriam,Ramsier,abandoned cart,$4.64,false,10/10/2022,welcome,$1.91,true,7/27/2022,Monthly
48,Hedwig,Kohneke,abandoned cart,$4.22,false,02/21/2022,we missed you,$4.25,false,4/28/2022,Monthly
49,Lebbie,Parren,cross product,$0.99,false,10/02/2022,abandoned cart,$7.51,false,11/8/2022,Seldom
50,Obadias,Cussen,welcome,$5.64,false,05/05/2022,welcome,$2.92,true,1/1/2022,Often
51,Elianora,Tremouille,cross product,$5.85,false,02/10/2022,frequency purchase,$6.17,true,4/17/2022,Weekly
52,Jessie,Ewings,abandoned cart,$8.45,true,04/26/2022,we missed you,$9.31,true,1/14/2022,Daily
53,Taber,Bushen,cross product,$9.31,false,04/16/2022,we missed you,$4.32,false,9/1/2022,Never
54,Garvy,Morse,frequency purchase,$9.89,true,01/19/2022,welcome,$6.47,false,5/2/2022,Yearly
55,Gamaliel,Sollner,welcome,$6.61,true,09/04/2022,we missed you,$2.21,false,2/1/2022,Once
56,Josie,Dewi,frequency purchase,$1.82,true,02/23/2022,cross product,$8.13,true,5/18/2022,Monthly
57,Neron,Loudwell,product launch,$3.55,true,06/11/2022,abandoned cart,$0.80,false,1/14/2022,Once
58,Lynette,Puckring,welcome,$5.49,true,02/16/2022,welcome,$5.03,false,4/12/2022,Daily
59,Del,Izhak,product launch,$9.66,false,12/06/2022,abandoned cart,$8.22,false,9/11/2022,Monthly
60,Gunar,Doorbar,frequency purchase,$7.35,false,03/16/2022,welcome,$3.89,true,5/16/2022,Seldom
61,Ariella,Ingledew,welcome,$1.72,false,10/26/2022,frequency purchase,$6.50,true,12/19/2022,Seldom
62,Wade,Gyles,abandoned cart,$1.58,true,10/10/2022,abandoned cart,$7.36,true,6/11/2022,Daily
63,Brandyn,Beckers,abandoned cart,$6.33,true,04/28/2022,we missed you,$7.50,true,7/21/2022,Yearly
64,Grier,Mandifield,cross product,$7.59,false,06/20/2022,frequency purchase,$4.25,true,1/29/2022,Seldom
65,Ferne,Lavall,abandoned cart,$0.14,true,06/02/2022,cross product,$1.36,true,9/7/2022,Never
66,Rowen,Seals,abandoned cart,$4.01,false,10/09/2022,frequency purchase,$0.80,false,5/17/2022,Often
67,Salomo,Castelyn,we missed you,$9.61,false,06/15/2022,we missed you,$4.77,true,11/23/2022,Often
68,Dexter,Grzegorzewski,welcome,$2.83,true,05/17/2022,we missed you,$1.22,true,2/6/2022,Monthly
69,Traci,Berisford,product launch,$3.14,true,10/29/2022,product launch,$3.36,false,9/16/2022,Daily
70,Harmonia,Florez,cross product,$0.84,true,06/08/2022,welcome,$7.93,false,5/29/2022,Once
71,Ab,Viles,cross product,$0.27,true,01/21/2022,cross product,$8.74,false,1/12/2022,Often
72,Ruy,Lodewick,frequency purchase,$2.02,true,12/05/2022,abandoned cart,$7.75,true,10/2/2022,Monthly
73,Thane,Wennington,product launch,$9.07,true,11/29/2022,we missed you,$1.20,true,6/11/2022,Never
74,Othilia,Bebis,welcome,$3.39,true,06/26/2022,welcome,$5.86,false,11/3/2022,Weekly
75,Clea,Malyj,abandoned cart,$3.24,false,04/22/2022,welcome,$4.64,false,12/9/2022,Daily
76,Drucill,Gatesman,we missed you,$3.00,false,09/17/2022,we missed you,$2.28,false,7/18/2022,Never
77,Claudina,Youson,we missed you,$9.37,true,05/30/2022,abandoned cart,$3.18,false,5/22/2022,Yearly
78,Bear,Wilfing,product launch,$8.06,true,01/25/2022,cross product,$2.75,false,6/9/2022,Once
79,Skipp,MacMaster,we missed you,$1.83,true,07/24/2022,cross product,$8.72,true,5/10/2022,Monthly
80,Somerset,Decort,we missed you,$3.31,false,12/29/2022,we missed you,$6.33,false,7/31/2022,Monthly
81,Miner,Kenset,product launch,$2.20,true,01/27/2022,abandoned cart,$0.15,false,12/28/2022,Never
82,Janelle,Croxford,frequency purchase,$5.44,false,09/23/2022,welcome,$4.83,false,6/1/2022,Daily
83,Shanda,Bewly,cross product,$8.41,false,07/01/2022,product launch,$5.87,true,12/23/2022,Never
84,Susette,Merrigan,abandoned cart,$3.68,true,04/05/2022,cross product,$4.60,false,9/20/2022,Often
85,Dallas,Solomon,cross product,$5.86,false,08/26/2022,we missed you,$7.48,false,7/6/2022,Weekly
86,Warden,Sawney,welcome,$4.54,false,03/27/2022,abandoned cart,$3.74,true,11/23/2022,Yearly
87,Minor,Hazley,frequency purchase,$7.71,false,09/10/2022,product launch,$6.29,false,6/1/2022,Never
88,Giralda,Ternouth,we missed you,$5.83,true,04/02/2022,cross product,$7.14,false,6/18/2022,Monthly
89,Syman,Casson,product launch,$7.17,false,07/14/2022,frequency purchase,$2.24,true,12/5/2022,Once
90,Harriet,Delouch,product launch,$1.59,true,12/02/2022,frequency purchase,$3.83,false,3/16/2022,Yearly
91,Shem,MacMaster,welcome,$7.72,true,01/24/2022,we missed you,$0.96,true,9/10/2022,Once
92,Kattie,Sweett,product launch,$6.18,true,02/05/2022,welcome,$3.61,false,3/21/2022,Weekly
93,Carilyn,Greetland,cross product,$6.32,true,10/01/2022,product launch,$6.82,true,2/23/2022,Monthly
94,Gretel,Brimble,frequency purchase,$9.73,false,02/05/2022,cross product,$9.81,false,10/21/2022,Seldom
95,Gerrard,Jossum,abandoned cart,$3.13,true,07/15/2022,we missed you,$0.93,true,11/18/2022,Weekly
96,Gertruda,Jeaneau,cross product,$0.73,true,05/28/2022,frequency purchase,$9.23,false,6/30/2022,Once
97,Adara,Beagles,frequency purchase,$9.16,true,06/26/2022,frequency purchase,$0.58,true,3/17/2022,Monthly
98,Ade,Budge,welcome,$1.85,false,02/21/2022,welcome,$8.02,true,9/10/2022,Never
