customer_id,first_name,last_name,tiktok_campaign,tiktok_cpa,tiktok_conversion,tiktok_dates,email_campaign,email_cpa,email_conversion,email_dates
1,Remus,Tamplin,cross product,$5.07 ,FALSE,7/18/22,abandoned cart,$3.00 ,TRUE,10/29/22
2,Hillie,Yes,frequency purchase,$0.31 ,FALSE,6/7/22,welcome,$6.14 ,TRUE,5/24/22
3,Aridatha,Robertelli,frequency purchase,$3.88 ,FALSE,10/16/22,cross product,$8.11 ,TRUE,8/1/22
4,Cordie,Illing,we missed you,$5.57 ,TRUE,7/4/22,welcome,$7.44 ,TRUE,1/12/22
5,Gannie,McKaile,frequency purchase,$0.76 ,TRUE,6/24/22,welcome,$7.29 ,FALSE,1/29/22
6,Camel,Goater,frequency purchase,$5.06 ,FALSE,9/2/22,abandoned cart,$7.32 ,TRUE,9/15/22
7,Aila,Taberer,cross product,$0.02 ,TRUE,2/27/22,welcome,$4.34 ,FALSE,12/21/22
8,Demetris,Gravenell,cross product,$5.31 ,FALSE,4/10/22,welcome,$4.74 ,TRUE,7/27/22
9,Lauree,Simonian,abandoned cart,$7.13 ,FALSE,1/9/22,frequency purchase,$6.99 ,FALSE,8/28/22
10,Creight,Croughan,frequency purchase,$1.70 ,FALSE,3/4/22,welcome,$9.92 ,TRUE,5/30/22
11,Tom,Bengle,welcome,$9.79 ,FALSE,11/10/22,abandoned cart,$2.26 ,FALSE,5/26/22
12,Madonna,Gregorace,frequency purchase,$4.23 ,FALSE,5/17/22,welcome,$0.31 ,FALSE,2/27/22
13,Jaymee,McIleen,cross product,$8.71 ,TRUE,6/28/22,frequency purchase,$9.59 ,TRUE,4/8/22
14,Geraldine,Millis,frequency purchase,$5.50 ,FALSE,10/31/22,frequency purchase,$6.75 ,TRUE,1/15/22
15,Emmie,Thornhill,we missed you,$5.46 ,TRUE,10/3/22,welcome,$1.44 ,FALSE,9/30/22
16,Mace,Van Der Hoog,cross product,$1.39 ,FALSE,7/11/22,welcome,$4.31 ,TRUE,11/7/22
17,Bridget,Normabell,frequency purchase,$9.18 ,FALSE,7/28/22,frequency purchase,$2.47 ,TRUE,11/14/22
18,Benita,Pickup,we missed you,$7.10 ,FALSE,8/12/22,abandoned cart,$3.84 ,FALSE,1/12/22
19,Ivan,Lovatt,cross product,$4.84 ,FALSE,8/31/22,abandoned cart,$2.56 ,TRUE,6/7/22
20,Chastity,O'Ferris,welcome,$4.16 ,FALSE,2/1/22,frequency purchase,$9.45 ,TRUE,12/9/22
21,Janette,Boldecke,frequency purchase,$8.62 ,TRUE,7/12/22,product launch,$8.18 ,FALSE,12/10/22
22,Casandra,Ivey,frequency purchase,$9.80 ,FALSE,5/6/22,abandoned cart,$6.75 ,TRUE,6/23/22
23,Shay,Lingner,frequency purchase,$8.57 ,FALSE,11/1/22,cross product,$5.57 ,TRUE,6/28/22
24,Dolly,O'Driscoll,welcome,$1.78 ,FALSE,4/2/22,cross product,$6.81 ,FALSE,2/22/22
25,Missy,Yegoshin,frequency purchase,$4.67 ,FALSE,2/14/22,welcome,$9.93 ,FALSE,1/28/22
26,Skylar,Urian,frequency purchase,$6.12 ,FALSE,2/21/22,abandoned cart,$2.54 ,TRUE,7/10/22
27,Aldis,Pieracci,frequency purchase,$0.38 ,FALSE,3/3/22,welcome,$2.05 ,TRUE,8/13/22
28,Noemi,Kingaby,product launch,$8.44 ,FALSE,7/29/22,welcome,$2.02 ,TRUE,10/18/22
29,Agnesse,Lawrie,product launch,$1.24 ,FALSE,7/4/22,welcome,$5.64 ,TRUE,9/12/22
30,Chandra,MacDearmid,cross product,$3.06 ,FALSE,4/30/22,welcome,$2.75 ,TRUE,1/11/22
31,Chicky,Bunhill,cross product,$0.24 ,FALSE,1/19/22,product launch,$0.10 ,TRUE,4/19/22
32,Page,Newick,cross product,$3.44 ,FALSE,1/16/22,abandoned cart,$4.03 ,TRUE,6/22/22
33,Estrella,Parris,we missed you,$0.61 ,TRUE,5/3/22,abandoned cart,$2.17 ,FALSE,4/7/22
34,Tedra,Sandeson,frequency purchase,$9.39 ,FALSE,9/21/22,abandoned cart,$5.61 ,TRUE,4/23/22
35,Ketti,Curedale,frequency purchase,$0.76 ,FALSE,9/9/22,welcome,$6.00 ,TRUE,12/3/22
36,Elijah,Warwick,cross product,$3.48 ,FALSE,1/1/22,welcome,$8.09 ,FALSE,11/4/22
37,Deane,Stevings,welcome,$3.19 ,TRUE,12/8/22,abandoned cart,$2.42 ,FALSE,6/4/22
38,Arte,Markovic,cross product,$1.52 ,FALSE,3/30/22,we missed you,$5.09 ,TRUE,3/11/22
39,Lucila,Semered,cross product,$1.92 ,FALSE,10/27/22,abandoned cart,$3.60 ,TRUE,4/10/22
40,Charline,Bolver,welcome,$1.96 ,FALSE,5/7/22,abandoned cart,$1.26 ,TRUE,9/28/22
41,Ramsay,Panons,welcome,$3.82 ,FALSE,2/13/22,we missed you,$3.82 ,FALSE,11/13/22
42,Alisun,Haggart,frequency purchase,$6.48 ,FALSE,2/17/22,cross product,$5.11 ,FALSE,6/11/22
43,Allene,Tattersfield,cross product,$5.77 ,TRUE,4/24/22,abandoned cart,$5.44 ,FALSE,12/2/22
44,Giovanna,Grishinov,frequency purchase,$4.17 ,FALSE,7/20/22,frequency purchase,$8.75 ,FALSE,6/19/22
45,Odetta,Andrus,product launch,$6.55 ,TRUE,10/2/22,frequency purchase,$6.99 ,FALSE,2/6/22
46,Rodd,Coch,welcome,$3.36 ,FALSE,4/17/22,welcome,$6.93 ,TRUE,1/7/22
47,Nancey,Shoorbrooke,product launch,$3.75 ,FALSE,9/20/22,welcome,$5.45 ,FALSE,7/20/22
48,Salvidor,Glassford,cross product,$6.47 ,FALSE,7/18/22,welcome,$3.09 ,TRUE,9/30/22
49,Olimpia,Kiehnlt,welcome,$5.78 ,TRUE,3/11/22,welcome,$2.55 ,FALSE,12/30/22
50,Dennis,Back,product launch,$2.51 ,TRUE,12/11/22,abandoned cart,$3.86 ,TRUE,4/3/22
51,Magdaia,Beneyto,frequency purchase,$1.23 ,FALSE,4/21/22,cross product,$8.59 ,TRUE,9/29/22
52,Andrei,Lavell,cross product,$7.37 ,FALSE,1/15/22,cross product,$1.76 ,FALSE,8/26/22
53,Timmie,Stockey,product launch,$4.56 ,TRUE,10/3/22,welcome,$1.34 ,FALSE,5/27/22
54,Kiri,Itzkovich,we missed you,$6.50 ,FALSE,4/16/22,product launch,$6.77 ,FALSE,11/21/22
55,Chloris,Liddel,welcome,$0.30 ,FALSE,3/19/22,welcome,$5.10 ,TRUE,7/13/22
56,Darcy,Sollime,cross product,$5.30 ,FALSE,5/26/22,we missed you,$7.37 ,FALSE,8/18/22
